,wantedauthno,company,busino,title,saltpnm,sal,minsal,maxsal,region,holidaytpnm,minedubg,maxedubg,career,regdt,closedt,infosvc,wantedinfourl,wantednobileinfourl,zipcd,strtnmcd,basicaddr,detailaddr,emptpcd,jobscd,smodifydtm,prefcd
0,K172122012100023,아이에스이엔지,1211380640,[경력]mct / cnc 가공 작업자 모집,월급,250만원 ~ 300만원,2500000,3000000,충남 아산시,주5일근무,학력무관,대졸(2~3년),관계없음,20-12-10,21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K172122012100023,,31409,442004559709,충청남도 아산시 둔포면 이화길 222-8,아이에스이엔지,10,813200,202012102011,
1,KJDE002012100012,더이음재가복지센터,5068035523,5등급치매교육이수자,시급,10800원 ~ 14000원,10800,14000,세종,주5일근무,학력무관,대졸(4년),관계없음,20-12-10,채용시까지  21-01-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KJDE002012100012,,30054,361103251037,세종특별자치시  장군면 장척로 274,하나로마트근처 빌라,10,550104,202012101939,12|B
2,K141112012100037,모던산업가스(주),3638100730,현장관리 및 충전관련 직원채용,연봉,2700만원 ~ 2700만원,27000000,27000000,경북 포항시 남구,주5일근무,학력무관,대졸(4년),관계없음,20-12-10,20-12-24,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K141112012100037,,37855,471113303030,경상북도 포항시 남구 연일읍 연일로 342-7,모던산업가스 주식회사,10,851200,202012101924,
3,K151572012100029,(주)아이존아이앤디,5448801088,브라켓 및 거치대 영업관련 유경험자 모집,연봉,2600만원,26000000,0,경기 남양주시,주6일근무,학력무관,석사,경력,20-12-10,20-12-26,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K151572012100029,,12139,413604391679,경기도 남양주시 진건읍 진관로311번길 13-30,,10,612407,202012101853,
4,K151572012100028,(주)아이존아이앤디,5448801088,물류 및 창고 관리자 모집,연봉,2500만원,25000000,0,경기 남양주시,주6일근무,학력무관,대졸(4년),관계없음,20-12-10,20-12-26,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K151572012100028,,12139,413604391679,경기도 남양주시 진건읍 진관로311번길 13-30,,10,028307,202012101851,
5,KF10232012100003,백세재가노인복지센터,5318000321,재가요양보호사 모집,시급,10850원,10850,0,경기 광명시,주6일근무,학력무관,석사,관계없음,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KF10232012100003,,14328,412103187034,경기도 광명시 성채로 36,4단지,11,550104,202012101845,12
6,K151812012100039,큰맘할매순대국,8262001016,주방장님 찾습니다!,월급,200만원 ~ 200만원,2000000,2000000,경기 고양시 일산동구,주5일근무,고졸,박사,경력,20-12-10,20-12-25,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K151812012100039,,10401,412854379188,경기도 고양시 일산동구 중앙로1275번길 38-5,104호 큰맘할매순대국,20,531200,202012101839,
7,KF10232012100002,백세재가노인복지센터,5318000321,방문목욕 재가요양보호사 모집,시급,15000원,15000,0,경기 광명시,,학력무관,대졸(4년),관계없음,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KF10232012100002,,14329,412103187034,경기도 광명시 성채로 37,4단지,11,550103,202012101824,12
8,KJQR002012100004,주식회사 거룩,6508801909,택배차량 방역원 및 방역위탁업체 모집(개인가능),시급,10000원,10000,0,전남 장성군,,학력무관,대졸(2~3년),관계없음,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KJQR002012100004,,57248,468803351043,전라남도 장성군 남면 나노산단3로 11,쿠팡 광주1캠프,20,562900,202012101820,
9,KF10602012100002,수원참인지재활주간보호센터,8188001417,요양보호사 선생님을 구합니다,월급,180만원 ~ 180만원,1800000,1800000,경기 수원시 영통구,주5일근무,학력무관,대졸(4년),관계없음,20-12-10,21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KF10602012100002,,16688,411173177016,경기도 수원시 영통구 태장로 81,e-타운건물 6층,10,550103,202012101818,
10,KF10862012100004,참빛요양원,4098218571,2021년 북구 제2권역 노인맞춤돌봄서비스사업 추...,월급,112만원,1125000,0,광주 북구,주5일근무,학력무관,대졸(4년),경력,20-12-10,20-12-17,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KF10862012100004,,500857,291703162027,광주광역시 북구 서강로 67,24-21,21,550100,202012101814,12
11,K150012012100105,일성건설(주),1058129640,건설신축현장 보건관리자님 모십니다,연봉,3600만원,36000000,0,경기 양주시,주5일근무,학력무관,대졸(4년),관계없음,20-12-10,채용시까지  21-01-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K150012012100105,,11460,416303215066,경기도 양주시 평화로 1340-113,신축현장,20,158400,202012101811,
12,KF10982012100001,(주)제이앤비컨설팅,1148185006,[(주)제이앤비컨설팅] 청년내일체움공제담당자 모집,연봉,2300만원,23000000,0,서울 영등포구,주5일근무,학력무관,박사,신입,20-12-10,21-01-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KF10982012100001,,07299,115603000028,서울특별시 영등포구 경인로 775,2동 1501호 (주)제이앤비컨설팅,20,231400,202012101813,
